risco,companyId,companyName,sourceUrl,matchedToken,score,numSourcesDaCompany,numJobsDaCompany,jobSourceId,observacao,amostraDoTexto
CONFIRMADO,cmt0g81x86f8apd4j60io2cpm,ITAQUI ENERGIA,https://solargrid.gupy.io/,solargrid,0.09,1,6,cmt0g81xg6f8cpd4ju12jdwsv,"Descricao cita literalmente 'plataforma SolarGrid'; Itaqui Energia nao existe na vaga. Unica fonte da Company — todas as 6 vagas sao da Solar Grid, nao da Itaqui.","Analista de Dados de Gestão de Energia e Billing Descricao da vaga Venha fazer parte do time de Billing da empresa! Responsabilidades e atribuicoes • Extrair, tratar e consolidar dados de diferentes s"
ALTA SUSPEITA,cmswbmapn0i7sob4jb88iwz9e,BASF Brasil,https://ioasys.gupy.io/,ioasys,0.15,1,4,cmswbmapu0i7uob4j23k5xu7l,"ioasys e consultoria digital, sem relacao aparente com BASF Brasil (quimica/farma).","Data Engineer Descricao da vaga A ioasys é especialista na criação de soluções digitais para empresas que buscam evoluir de forma consistente. Combinamos estratégia, design, dados e inteligência artif"
ALTA SUSPEITA,cmswbm9z80i5dob4j6013mn5e,Shopee Brasil,https://shopper.gupy.io/,shopper,0.44,1,1,cmswbm9zg0i5fob4jhgj792je,'Shopper' e app de entrega nao relacionado a Shopee (marketplace do grupo Sea).,"Analista Desenvolvimento WEB Fullstack Descricao da vaga Buscamos uma pessoa com forte profundidade técnica e visão sistêmica para atuar no desenvolvimento e evolução de soluções complexas, distribuíd"
ALTA SUSPEITA,cmsxijyzt19p7nf4j48gdvh6a,SMARTFIT,https://vidalink.gupy.io/,vidalink,0.00,1,7,cmsxijz0319p9nf4jwqchc2q1,"Descricao se apresenta como 'Vidalink' (marketplace de saude), sem mencionar Smartfit.","Analista de Pré Vendas (BDR) – Mercado Enterprise Descricao da vaga Muito prazer, somos a Vidalink! Buscamos um(a) BDR Enterprise estratégico(a), altamente analítico(a) e com perfil hunter sofisticado"
ALTA SUSPEITA,cmsxt5ysc2ajcnf4j2kvjim7c,SOFAPE FILTROS,https://3coracoes.gupy.io/,3coracoes,0.00,1,11,cmsxt5ysl2ajenf4j2dpf62gh,"Grupo 3coracoes e empresa de cafe, sem relacao aparente com Sofape Filtros.","DESENVOLVEDOR SALESFORCE PLENO (MARKETING CLOUD) Descricao da vaga O Grupo 3corações é construído por pessoas, antes de tudo, apaixonadas pelo que fazem. Temos orgulho de crescer pela força do trabalh"
ALTA SUSPEITA,cmsxcfo0t00bknf4j0az2eoe7,SUPERMERCADO BAHAMAS,https://stmarche.gupy.io/,stmarche,0.10,1,1,cmsxcfo1200bmnf4jhha25691,St. Marche e rede de supermercados premium distinta de Supermercado Bahamas.,"Consultor SAP FI (PJ) Descricao da vaga Se você quer se desenvolver, o St. Marche é o seu lugar! Venha fazer parte do time de uma das melhores empresas do Varejo para se trabalhar! Conheça um pouco so"
ALTA SUSPEITA,cmswbm9fn0i3mob4jq7m47n2i,Savegnago Supermercados,https://swift.gupy.io/,swift,0.00,1,3,cmswbm9fz0i3oob4j4ja8o63v,"Swift e marca de alimentos/proteina, sem relacao aparente com Savegnago Supermercados.","Analista de TI Pleno- Swift | Corporativo Descricao da vaga A Swift tem a missão de alimentar uma vida melhor através de produtos de qualidade, uma boa culinária e um atendimento amigável que ajuda a "
ALTA SUSPEITA,cmsxcfntl00aznf4jxs7z8kwc,ELETRONUCLEAR,https://ambarenergia.gupy.io/,ambarenergia,0.05,1,3,cmsxcfntu00b1nf4j88dwvdly,"Descricao diz 'Somos a Ambar, empresa do grupo J&F' — nao tem relacao com Eletronuclear (estatal nuclear).","Âmbar Energia - Coordenador de Sistemas Descricao da vaga Somos a Âmbar, a empresa de geração e comercialização de energia do grupo J&amp;F, o maior grupo privado do Brasil. Nosso amplo portfólio de "
ALTA SUSPEITA,cmsxijyuu19ovnf4j4t86d9d6,INFRAERO,https://bh-airport.gupy.io/,bhairport,0.00,1,1,cmsxijyv519oxnf4j9rd1yaae,"BH Airport e concessionaria privada do aeroporto de Confins desde 2014, nao e mais operado pela Infraero.","ANALISTA INFRAESTRUTURA PL Descricao da vaga Somos o ponto de partida para grandes jornadas. Feitos de movimento, propósito e paixão por conectar o mundo. Venha fazer parte do time BH Airport que cone"
ALTA SUSPEITA,cmu19mk9s5zwko64juo91qrpy,KLABIN S.A.,https://adilis.pandape.com.br/,adilis,0.00,1,8,cmu19mk9w5zwmo64j5cz4pd3v,"Adilis Trade Marketing e agencia de trade marketing, sem relacao aparente com Klabin (papel/celulose).",ANALISTA DE PÓS VENDA (SUPORTE) A Adilis Trade Marketing busca um profissional para a função de Analista de Pós Venda (Suporte) em regime híbrido. Funções Gerenciar o acompanhamento de pós-vendas; Coo
